Hour,Load,PV,Net_Load,MBP,Cost,Grid_Purchase,Deficit,Surplus
1,557,0,557,4.07,2264.5032971918586,2264.5032971918586,561.8468440771103,5.4578276
2,583,0,583,4.0,2330.3191916942596,2330.3191916942596,587.9504567980766,5.370659
3,465,0,465,4.07,1944.7181146524103,1944.7181146524103,478.6231526955962,0.8054341
4,518,0,518,4.27,2268.2853614158926,2268.2853614158926,531.9051818698645,0.6908115
5,391,0,391,4.59,1859.550355898738,1859.550355898738,405.62754425406456,0.49674776
6,775,0,775,5.0,3940.145418792963,3940.145418792963,788.6294265091419,0.60034275
7,889,225,664,5.48,3484.5693545377258,3484.5693545377258,650.1284721791744,14.258152
8,813,271,542,6.0,3082.522152900696,3082.522152900696,527.8768458366394,14.123154
9,893,341,552,6.52,3409.9162286949154,3409.9162286949154,537.4966435432434,14.503357
10,970,517,453,7.0,2966.4008646011353,2966.4008646011353,438.3857755661011,14.6142235
11,937,478,459,7.41,3185.4134332036974,3185.4134332036974,444.4401774406433,14.559822
12,1029,563,466,7.73,3375.556958909035,3375.556958909035,451.3413300514221,14.65867
13,948,444,504,7.93,3764.659566040039,3764.659566040039,489.3681945800781,14.631805
14,913,418,495,8.0,3725.7047233581543,3725.7047233581543,480.35654497146606,14.643455
15,1107,400,707,7.93,5373.0915054416655,5373.0915054416655,692.282567024231,14.717434
16,994,308,686,7.73,5075.631135849953,5075.631135849953,671.3073182106018,14.692682
17,1013,149,864,7.41,6183.887812728882,6183.887812728882,849.2663841247559,14.733616
18,937,0,937,7.0,6347.098343856633,6347.098343856633,921.9533867165446,15.225052
19,1039,0,1039,6.52,6624.975219113826,6624.975219113826,1028.0134165883064,11.912923
20,1044,0,1044,6.0,6163.904618024826,6163.904618024826,1037.3629018068314,10.045465
21,863,0,863,5.48,4576.811258968115,4576.811258968115,849.4196799695492,14.235144
22,448,0,448,5.0,2095.4445370845497,2095.4445370845497,433.56749933585525,14.478592
23,369,0,369,4.59,1599.9138336879014,1599.9138336879014,358.8541869521141,10.289082
24,498,0,498,4.27,2070.3583292150497,2070.3583292150497,491.605908870697,6.7444735
